index,message,label,restored_link
0,[0] [국제발신]?럭스k1imc-1pp.com금일 돌발!!,1,k1imc-1pp.com
1,[1] [국제발신]쇼미★??u입폴★3/6목요일삼+이~이백+70문의필슈?b@TEK2Esmtb-0037쩜꺼엄,1,smtb-0037.com
2,[2] [국제발신] 24       자   !                   !                !,0,
3,[3] [국제발신]형님누님들요즘스트레스풀때가없습니다!!집에서스트레스편하게푸시라고6∞∞줄께요구경이나하세요cm9.site,1,cm9.site
4,[4] 도@라에몽 24쉬간 돌발~24:ＯＯㅅㅍㅊ 2Ｏ% 미?? 1Ｏ%CASINØ 5%SLØT 1O%>>ⓓⓞ-OO.COM<<,1,do-OO.COM
5,[5] ?엑스맨이전??적용입플 ????이사? ??????.??????? ????,0,
6,"[6] [Web발신]Temu: 환영합니다! 주소: 6 RAFFLES QUAY, #14-06, SINGAPORE무료수신거부: 0808208368",0,
7,[7] [국제발신]   일    전     /  자      ㅇ  ~    1  5 3 7 0,0,
8,[8] [국외발신]？？지금바로가능합니다？？？？전부 가능？？？？ B대？？？？빼른 송금 10분？？㉸톡:vv01,0,
9,[9] 탐정?계좌정상화??무한 돌발5%UP??11시까지??NBA?NHL??MLB/NPB탐정주소.?oM,1,탐정주소.com
10,[10] [국외발신]탐정？？계좌정상화？？？？무한 돌발5%UP？？？？11시까지？？？？NBA？？NHL？？MLB/NPB탐정주소.？oM,1,탐정주소.com
11,[11] [국제발신]           !!          0~  00      .     .     ok,0,
12,[12] [국제발신] 대                                                    AB9,0,
13,[13] [국제발신]?레 드 라 인?스 포 츠 2 0 %bit.ly/redgigi바 로 접 쏙,1,bit.ly/redgigi
14,[14] [국외발신]？？레 드 라 인？？스 포 츠 2 0 %bit.ly/redgigi바 로 접 쏙,1,bit.ly/redgigi
15,[15] ????좍泰煞?TV?라민TV라민TV.?????좍怠쳉??E?容㎉㎸璣??입장시 2만?문자인증?1,0,
16,[16] [국외발신]？？？？츠중계TV？？라민TV라민TV.？？？？？？？？？츠시청？？E？빵빵한곳？？입장시 2만？？문자인증？1,0,
17,[17] [국제발신]1   ~3                         +3      2                 q6c.us/rr7,1,q6c.us/rr7
18,[18] [국제발신]           !                  x  -        op37,0,
19,[19] [국외발신]당？？？？？？금!？？？？？？？？？？？？？？？？？？？？？？？？？？？~？？？？？？？？？:？？？？？？,0,
20,[20] [국제발신]당      금!                         ~      :,0,
21,[21] [국제발신]당??????금!?????????????????????????~??????:????,0,
22,[22] [국제발신]1   ~3                         +3      2                 q6c.us/vg1,1,q6c.us/vg1
23,[23] [국제발신]1   ~3                         +3      2                 q6c.us/vo1,1,q6c.us/vo1
24,[24] [국제발신]비                   -              ok     :,0,
25,"[25] [Web발신]https://ual.kr/cqb스폿츠,카ji노때규모 공짜 픽 공윳방e.v.e.n.t 공포잇트 줌",1,https://ual.kr/cqb
26,[26] [국제발신]       ~                                        9,0,
